track_id,track_name,artist,album_name,release_year,popularity,genre,subgenre,danceability,energy,valence,acousticness,instrumentalness,liveness,speechiness,tempo,loudness,duration_ms
55nMnifaQWKe3f9cbwOXwx,Summer Days (feat. Macklemore & Patrick Stump of Fall Out Boy) - Tiësto Remix,Martin Garrix,Summer Days (feat. Macklemore & Patrick Stump of Fall Out Boy) [Remixes],2019,63,pop,dance pop,0.69,0.78,0.238,0.00733,0.00183,0.0729,0.0594,126.07,-4.446,255238
1EJgymgJHcjSOGSHcYaxvW,South of the Border (feat. Camila Cabello & Cardi B) - Andy Jarvis Remix,Ed Sheeran,South of the Border (feat. Camila Cabello & Cardi B) [Andy Jarvis Remix],2019,66,pop,dance pop,0.805,0.835,0.722,0.13,5.03e-6,0.365,0.0896,125.028,-4.603,188230
5WaXMQMlQpq8pwIdaFP43L,All My Friends - Eden Prince Remix,AJ Mitchell,All My Friends (Eden Prince Remix),2019,60,pop,dance pop,0.694,0.901,0.368,0.0702,0,0.427,0.0948,118.051,-4.322,173548
3TjLsDgL0bTbSQIF6M5Ki8,Say My Name (feat. Bebe Rexha & J Balvin) - Lucas & Steve Remix,David Guetta,Say My Name (feat. Bebe Rexha & J Balvin) [Lucas & Steve Remix],2018,65,pop,dance pop,0.678,0.747,0.516,0.0395,0,0.174,0.165,120.002,-5.289,189375
0GfS3y8Jd7SHWd9R51s7Fo,Dancing With A Stranger (With Normani) - Cheat Codes Remix,Sam Smith,Dancing With A Stranger (With Normani) [Cheat Codes Remix],2019,69,pop,dance pop,0.746,0.557,0.324,0.103,0.0036,0.138,0.0542,111.961,-6.722,159404
2v3DuCVBbopteJqdM7aKQK,Let It Be Me - Sondr Remix,Steve Aoki,Let It Be Me (Remixes),2019,35,pop,dance pop,0.467,0.821,0.232,0.00791,4.41e-4,0.131,0.0934,122.676,-5.466,185366
4QAUGy6k7c3IOAhgWz52r7,Heaven - David Guetta & MORTEN Remix,Avicii,Heaven (David Guetta & MORTEN Remix),2019,70,pop,dance pop,0.572,0.934,0.204,0.00292,0.0198,0.105,0.0446,125.948,-5.053,215238
3Ciaf6WgvG95TGRGxQ1yO8,All Around The World (La La La) - Marnik Remix,R3HAB,All Around The World (La La La) [Marnik Remix],2019,64,pop,dance pop,0.708,0.913,0.707,0.089,0.081,0.113,0.0348,135.016,-4.329,170667
1mC2UjWt25Oixtqu7C6suL,Don't Leave Me Alone (feat. Anne-Marie) - EDX's Indian Summer Remix,David Guetta,Don't Leave Me Alone (feat. Anne-Marie) [EDX's Indian Summer Remix],2019,62,pop,dance pop,0.684,0.818,0.336,0.0469,3.39e-6,0.119,0.128,123.938,-4.477,210968
2wenGTypSYHXl1sN1pNC7X,Slow Dance (feat. Ava Max) - Sam Feldt Remix,AJ Mitchell,Slow Dance (feat. Ava Max) [Sam Feldt Remix],2019,70,pop,dance pop,0.732,0.85,0.372,0.114,2.02e-6,0.0388,0.0444,124.024,-5.999,193548
4sqABRRGU7CzcHXCyxUzFw,Do You Mean (feat. Ty Dolla $ign & bülow) - Myon Remix,The Chainsmokers,Do You Mean - The Remixes (feat. Ty Dolla $ign & bülow),2019,58,pop,dance pop,0.62,0.889,0.422,0.0163,1.86e-5,0.395,0.0352,110.018,-3.785,205093
5dy3WUywjZcalTno1io8TQ,Hold Me While You Wait - Steve Void Remix,Lewis Capaldi,Hold Me While You Wait (Steve Void Remix),2019,63,pop,dance pop,0.675,0.76,0.468,0.104,0,0.33,0.0434,124.933,-7.037,172800
2M9GeaCQXrV12J0wzBxIwi,One Thing Right - Firebeatz Remix,Marshmello,One Thing Right (Remixes),2019,66,pop,dance pop,0.682,0.851,0.348,0.0146,8.34e-4,0.0289,0.0363,126,-7.117,192381
1zzOMDmkRZy0g9f4JTAZKn,Close To Me (with Diplo) (feat. Swae Lee) - CID Remix,Ellie Goulding,Close To Me (Remixes),2019,8,pop,dance pop,0.663,0.905,0.397,0.0325,0,0.333,0.0511,125.996,-3.781,175000
4OFFY6L5ywYM1TwhXX69wQ,So Am I - Toby Green Remix,Ava Max,So Am I (Toby Green Remix),2019,62,pop,dance pop,0.625,0.938,0.371,0.00432,2.6e-4,0.0923,0.0517,127.997,-3.983,166875
1hr5Y2i4NlE3LPvQZ9Q5Ao,When You Leave - Breathe Carolina Remix,Nikki Vianna,When You Leave (Breathe Carolina Remix),2019,30,pop,dance pop,0.679,0.909,0.819,0.0334,0,0.269,0.105,119.885,-2.929,155080
1aT7vltGhkjyMI3F3aO3A4,Mother - Fedde Le Grand Remix,Charlie Puth,Mother (Fedde Le Grand Remix),2019,56,pop,dance pop,0.641,0.869,0.358,0.0319,0.00131,0.403,0.0423,128.091,-4.754,178125
4YaU1EjXIkdRdkOI4cCZys,Signs - Eden Prince Remix,Starley,Signs (Eden Prince Remix),2018,56,pop,dance pop,0.702,0.814,0.503,0.107,3.03e-5,0.374,0.0841,121.993,-7.51,172000
0Fc9QSMX6fgEBgDjUax7t7,Ruin My Life - Steve James Remix,Zara Larsson,Ruin My Life (Remixes),2018,58,pop,dance pop,0.723,0.837,0.643,0.0103,4.77e-4,0.0834,0.0389,123.952,-6.487,177097
7AasLZ4TYgh7dbJXZxcZVE,Torn - KREAM Remix,Ava Max,Torn (KREAM Remix),2019,60,pop,dance pop,0.742,0.864,0.727,0.00141,0.00467,0.241,0.0976,125.032,-5.06,169935
7p4jpmyBnOpqQ3rSGJzZ7w,Quite Miss Home - Steve Void Remix,James Arthur,Quite Miss Home (Steve Void Remix),2019,60,pop,dance pop,0.716,0.815,0.351,0.108,0,0.163,0.0533,124.975,-4.121,220413
4sLtguRBis05qfsBgJ1IdN,Love Me Less (feat. Quinn XCII) - Party Pupils Remix,MAX,Love Me Less (Remixes),2019,55,pop,dance pop,0.748,0.831,0.894,0.0823,7.36e-5,0.0757,0.115,128.024,-5.029,185273
508lUjbGcPrL0CfvHC7UvI,Happier - Matt Medved Remix,Marshmello,Happier (Remixes Pt. 2),2018,59,pop,dance pop,0.816,0.833,0.793,0.126,9.09e-6,0.0625,0.0511,122.032,-5.972,170164
7FDaS1k08rwMoAThmzUkOZ,Side Effects - Fedde Le Grand Remix,The Chainsmokers,Side Effects - Remixes,2018,63,pop,dance pop,0.633,0.854,0.659,0.0382,2.83e-5,0.434,0.0432,126.026,-4.046,172360
6m8SIT10j41SPpPFOknTmP,Good Things Fall Apart (with Jon Bellion) [Tiësto's Big Room Remix],ILLENIUM,Good Things Fall Apart (with Jon Bellion) [Tiësto's Big Room Remix],2019,67,pop,dance pop,0.563,0.81,0.495,0.00522,0,0.0846,0.0522,129.975,-2.921,247385
5Vwgf4MVO0vLv8fbxaGGiW,Paradise - Bazzi vs. Black Caviar Remix,Bazzi vs.,Paradise (Bazzi vs. Black Caviar Remix),2019,55,pop,dance pop,0.728,0.815,0.681,0.00223,3.17e-4,0.101,0.046,124.019,-2.878,218015
5scxjvcdozadBoRRN0UMaM,White Mercedes - EDX's Miami Sunset Remix,Charli XCX,White Mercedes (EDX's Miami Sunset Remix),2019,56,pop,dance pop,0.846,0.773,0.586,0.0141,2.23e-5,0.204,0.0473,124.008,-3.503,200444
6oJ6le65B3SEqPwMRNXWjY,Higher Love,Kygo,Higher Love,2019,87,pop,dance pop,0.693,0.678,0.404,0.0154,6.05e-6,0.101,0.0324,103.952,-7.159,228267
2tilX6FUl0IwFgiOYjuc6V,Unlove You,Armin van Buuren,Unlove You,2019,62,pop,dance pop,0.678,0.928,0.663,0.0303,3.33e-5,0.143,0.0597,116.892,-3.66,150160
3yNZ5r3LKfdmjoS3gkhUCT,bad guy (with Justin Bieber),Billie Eilish,bad guy (with Justin Bieber),2019,83,pop,dance pop,0.67,0.453,0.68,0.252,0.33,0.117,0.295,135.055,-11.265,194840
478QYNLw6dhTTx4oEkhBeq,Freaking Me Out - Keanu Silva Remix,Ava Max,Freaking Me Out (Keanu Silva Remix),2019,55,pop,dance pop,0.755,0.931,0.288,0.132,0.0271,0.0854,0.0606,122.041,-4.104,177466
3C4fzUgIP3ahkhOBdP38GM,Heaven Can Wait - The Aston Shuffle Remix,Sia,Heaven Can Wait (The Aston Shuffle Remix),2019,61,pop,dance pop,0.622,0.859,0.442,6.09e-4,0.746,0.0909,0.0636,121.968,-7.626,218373
2k4c9ZAlIYHyXiJ4i20FO7,When It Comes To You - Benny Benassi & BB Team Remix,Sean Paul,When It Comes To You (Remixes),2019,56,pop,dance pop,0.789,0.893,0.41,0.0538,0,0.221,0.168,121.956,-4.364,144073
79zGYOcAe2VmJsyQiJX31a,Gone - The Wild Remix,Charli XCX,Gone (The Wild Remix),2019,57,pop,dance pop,0.64,0.838,0.587,0.0588,1.99e-5,0.0424,0.0416,124.081,-4.203,193861
6B2NRQjtSOtqi67d72r5cx,American Boy - Brooks Remix,Estelle,American Boy (Brooks Remix),2019,56,pop,dance pop,0.609,0.764,0.531,0.0994,0,0.197,0.111,128.082,-4.564,200625
08rBIlTMXlF5uEHobZglxv,Million Pieces - M-22 Remix,Bastille,Million Pieces (M-22 Remix),2019,53,pop,dance pop,0.64,0.992,0.479,0.0832,0.0083,0.109,0.0585,123.951,-3.318,166237
1BmdqDrBU5eohtRwHBls6C,joy. (R3HAB Remix),for KING & COUNTRY,joy. (R3HAB Remix),2019,56,pop,dance pop,0.75,0.81,0.48,0.0917,1.59e-5,0.111,0.0572,120.038,-4.607,171500
5rxKInBVj0QE87KenyDiLf,Crash Into Me - Settle Down Steavis Aoki Remix,Steve Aoki,Crash Into Me (Settle Down Steavis Aoki Remix),2019,34,pop,dance pop,0.535,0.956,0.12,6.09e-4,0.0109,0.262,0.0343,127.984,-2.996,266719
3kgKVcBpBGuSeaEC0AZGlb,Old Town Road - Diplo Remix,Lil Nas X,Old Town Road (Diplo Remix),2019,74,pop,dance pop,0.766,0.771,0.297,0.00407,3.76e-6,0.113,0.0576,140.036,-9.108,204027
5qCrT9lVmIGxqB8i6bb83P,Lovers + Strangers - GATTÜSO Remix,Starley,Lovers + Strangers (GATTÜSO Remix),2019,46,pop,dance pop,0.649,0.821,0.394,0.017,3.47e-4,0.0655,0.0472,125.977,-4.952,203968
3Lv3frZVXU7Q0JEFvLIzWW,Promises (with Sam Smith) - David Guetta Remix,Calvin Harris,Promises (with Sam Smith) [Remixes],2018,63,pop,dance pop,0.588,0.697,0.225,0.186,2.19e-4,0.103,0.0372,125.157,-4.744,190417
2bZYJvVRN5EqIvAUFhUNls,Flames (with ZAYN) - R3HAB & Skytech VIP Remix,R3HAB,Flames (with ZAYN) (R3HAB & Skytech VIP Remix),2019,55,pop,dance pop,0.355,0.789,0.169,0.0148,0,0.0355,0.165,80.444,-4.358,237686
3utdq3dPLVD4r7Vv9BnCAI,What Am I - SONDR Remix,Why Don't We,What Am I (SONDR Remix),2019,52,pop,dance pop,0.542,0.84,0.509,0.0336,8.45e-5,0.277,0.0419,118.02,-5.283,180361
1ppOGANOzMT01Cxh9jx4hN,Cool Kids,Olympis,Cool Kids,2019,67,pop,dance pop,0.735,0.5,0.119,0.415,3.12e-5,0.13,0.0511,126.1,-11.297,139048
5Shjuje8PRcX7ueEVajrLH,Loco Contigo (with J. Balvin & Tyga) - Cedric Gervais Remix,DJ Snake,Loco Contigo (with J. Balvin & Tyga) [Cedric Gervais Remix],2019,63,pop,dance pop,0.752,0.84,0.461,0.00486,0.0109,0.0916,0.0373,124.002,-4.451,279800
6wKJjrWWP4qpzYbE8oQkc4,All Star - Breathe Carolina Remix,Smash Mouth,All Star (Breathe Carolina Remix),2019,60,pop,dance pop,0.748,0.903,0.751,0.0324,0,0.106,0.0385,115.018,-5.877,217043
6EDH26ppl7R8oV4tGilCkS,Trampoline - Dave Audé Remix,SHAED,Melt (Deluxe),2019,45,pop,dance pop,0.607,0.955,0.501,0.0163,0.121,0.0725,0.102,125.984,-3.613,230476
4RaN7556EogBfF80klMEX2,Stay (Don't Go Away) [feat. Raye] - Mark Knight Remix,David Guetta,Stay (Don't Go Away) [feat. Raye] [Mark Knight Remix],2019,58,pop,dance pop,0.607,0.995,0.664,0.0921,0.002,0.0445,0.0487,124.998,-2.325,188640
1nwoWaqzB30bD4IPqRNuex,With You - Dexter Remix,Kaskade,With You - The Remixes,2019,51,pop,dance pop,0.679,0.786,0.47,0.119,5.89e-6,0.224,0.132,126.092,-6.918,196613
4fDBElPGDqZQ3rJorZTm2w,Safety (feat. DJ Snake) - Dark Heart 2am Mix,GASHI,Safety (The Dark Heart Remixes) (feat. DJ Snake),2019,58,pop,dance pop,0.714,0.801,0.292,0.0204,0.00615,0.334,0.0301,124.015,-5.8,210000
6AZ21kPj2a0INgf3uCviVu,Beautiful (feat. Camila Cabello) - Bazzi vs. EDX's Ibiza Sunrise Remix,Bazzi vs.,Beautiful (feat. Camila Cabello) [Bazzi vs. EDX's Ibiza Sunrise Remix],2018,56,pop,dance pop,0.69,0.862,0.453,0.0611,1.85e-5,0.238,0.0944,121.975,-4.154,187869
3uXHSf9sSIpOJWuC1H8DiU,Talk - Disclosure VIP,Khalid,Talk (Disclosure VIP),2019,60,pop,dance pop,0.775,0.867,0.565,0.0158,0.0117,0.0355,0.204,128.956,-7.388,273229
4Q9iBGT9b9CVTtDwsgQWnl,Spicy - Majestic Remix,Herve Pagez,Spicy (with Diplo & Charli XCX) [Remixes],2019,48,pop,dance pop,0.814,0.838,0.959,0.001,0.0223,0.0185,0.0763,121.978,-5.547,255861
6LCsZ8ARrIq0n9nr6gM2ru,Don't Leave Me Lonely (feat. Yebba) - Claptone Remix,Mark Ronson,Don't Leave Me Lonely (feat. Yebba) [Claptone Remix],2019,56,pop,dance pop,0.784,0.779,0.459,0.0357,0.025,0.0245,0.0387,124.994,-5.48,216714
27F9FlipD657qYRQT3qxFm,Treehouse - R3HAB Remix,James Arthur,Treehouse (R3HAB Remix),2019,56,pop,dance pop,0.367,0.783,0.289,0.00515,0,0.0545,0.154,88.013,-4.504,192653
6B9cqNooxIyPfr3P5EB8LA,Hearts Ain't Gonna Lie - Eden Prince Remix,Arlissa,"Hearts Ain't Gonna Lie (Remixes, Pt. 1)",2018,65,pop,dance pop,0.609,0.83,0.604,0.201,6.18e-5,0.0321,0.0793,117.833,-3.759,238451
05CwHjIk71RXVU40boRMnR,Call You Mine,The Chainsmokers,World War Joy,2019,39,pop,dance pop,0.591,0.702,0.501,0.225,0,0.414,0.0289,104.003,-5.59,217653
0qc4QlcCxVTGyShurEv1UU,Post Malone (feat. RANI),Sam Feldt,Magnets EP,2019,83,pop,dance pop,0.59,0.642,0.651,0.0771,0,0.105,0.122,107.356,-3.87,174444
5icOoE6VgqFKohjWWNp0Ac,Here With Me,Marshmello,Here With Me,2019,83,pop,dance pop,0.791,0.565,0.181,0.0623,0,0.156,0.0439,99.961,-3.933,156347
6GIRtKNXokeu25nn7U6Hu8,Easier - Seeb Remix,5 Seconds of Summer,Easier (Seeb Remix),2019,71,pop,dance pop,0.564,0.747,0.717,0.0728,0,0.151,0.0584,97.878,-3.374,165767
4PkIDTPGedm0enzdvilLNd,Sixteen,Ellie Goulding,Sixteen,2019,81,pop,dance pop,0.669,0.801,0.541,0.268,0,0.0594,0.136,109.919,-5.445,201072
5PYQUBXc7NYeI1obMKSJK0,Never Really Over,Katy Perry,Never Really Over,2019,85,pop,dance pop,0.77,0.882,0.385,0.194,0,0.316,0.0602,99.991,-4.792,223523
4Gcv5SsxnQWpmOnUI19EJk,All You Need To Know (feat. Calle Lehmann),Gryffin,All You Need To Know (feat. Calle Lehmann),2019,76,pop,dance pop,0.513,0.788,0.234,0.00968,0,0.11,0.0364,139.987,-4.629,238459
5YkmS18BehACOhIIeUqe6l,I Miss Myself (with HRVY),NOTD,I Miss Myself (with HRVY),2019,71,pop,dance pop,0.72,0.864,0.659,0.0856,0,0.16,0.208,96.048,-3.249,191612
3vQhEd4lOg4mAV6CHCgoHW,South of the Border (feat. Camila Cabello & Cardi B) - Sam Feldt Remix,Ed Sheeran,South of the Border (feat. Camila Cabello & Cardi B) [Sam Feldt Remix],2019,65,pop,dance pop,0.789,0.858,0.491,0.22,4.58e-5,0.335,0.0404,110.012,-4.388,173455
6wo37KVqFJhtuxPTpLCcfe,Takeaway (feat. Lennon Stella),The Chainsmokers,World War Joy...Takeaway,2019,67,pop,dance pop,0.294,0.505,0.357,0.12,0,0.0977,0.042,85.332,-8.106,209893
3OTSBoYKO7HzGVj8Bu2OH9,All the Time,Zara Larsson,All the Time,2019,74,pop,dance pop,0.665,0.799,0.5,0.18,0,0.125,0.0617,101.976,-2.868,228112
4NSW0Km5ZG60L8FthUebPJ,What I Like About You (feat. Theresa Rex),Jonas Blue,What I Like About You (feat. Theresa Rex),2019,81,pop,dance pop,0.46,0.8,0.553,0.289,6.16e-6,0.121,0.05,102.46,-3.584,220396
1xK7enJZVdv37fnnxoZlPq,With You,Kaskade,With You,2019,71,pop,dance pop,0.362,0.921,0.529,0.123,0,0.19,0.486,172.191,-3.815,180840
1z1XegUChLLQfcbtIK8ABn,Body Back (feat. Maia Wright),Gryffin,Body Back (feat. Maia Wright),2019,75,pop,dance pop,0.686,0.83,0.486,0.0948,1.33e-6,0.182,0.0369,123.032,-4.437,214634
6aoGtdWXBkYQ2O2wnyIz2x,Not Ok,Kygo,Not Ok,2019,73,pop,dance pop,0.618,0.66,0.408,0.0292,2.07e-6,0.325,0.0372,105,-8.14,210944
5tAa8Uaqr4VvA3693mbIhU,Ruin My Life,Zara Larsson,Ruin My Life,2018,79,pop,dance pop,0.665,0.699,0.585,0.423,0,0.0969,0.0578,124.896,-5.265,190932
18W92Zm1KjLCbUIszOhpkD,I Wanna Know (feat. Bea Miller),NOTD,I Wanna Know (feat. Bea Miller),2018,74,pop,dance pop,0.661,0.725,0.605,0.0253,0,0.123,0.0563,119.927,-4.859,197939
3D37T7euWvVJ45evRmriIh,Better With You,3LAU,Better With You,2019,63,pop,dance pop,0.571,0.752,0.25,0.0196,6.92e-5,0.114,0.0293,102.043,-4.872,192941
3y3brCCecHC3Db18aIOnny,"Carry On (from the Original Motion Picture ""POKÉMON Detective Pikachu"")",Kygo,"Carry On (from the Original Motion Picture ""POKÉMON Detective Pikachu"")",2019,79,pop,dance pop,0.591,0.705,0.27,0.381,1.16e-4,0.131,0.079,121.799,-6.519,215316
6XqvFyJGdUD5IWee02ARKU,Polaroid,Jonas Blue,Blue,2018,16,pop,dance pop,0.652,0.898,0.472,0.29,0,0.073,0.0361,114.043,-4.481,193377
575NJxNUVDqwJGdzBrlLbv,Lost In Japan - Remix,Shawn Mendes,Lost In Japan (Remix),2018,75,pop,dance pop,0.706,0.855,0.293,0.0911,0,0.347,0.215,107.184,-5.377,201253
70YPzqSEwJvAIQ6nMs1cjY,In Your Arms (with X Ambassadors),ILLENIUM,ASCEND,2019,75,pop,dance pop,0.404,0.806,0.112,0.198,0,0.114,0.0496,148.036,-4.75,220730
7Ht0v0LWBCOEjmNQ0iMpNr,I'm Not Alright,Loud Luxury,I'm Not Alright,2019,55,pop,dance pop,0.876,0.856,0.685,0.0812,1.29e-6,0.457,0.0486,121.991,-3.884,185062
6nDKrPlXdpomGBgAlO7UdP,SOS,Avicii,SOS,2019,30,pop,dance pop,0.802,0.645,0.376,0.272,0,0.119,0.0715,100.001,-6.181,157202
2b1BwUGGyKq0CoJd8G1B6M,Harder,Jax Jones,Snacks,2019,62,pop,dance pop,0.906,0.832,0.751,0.0909,0,0.152,0.0718,104.03,-3.004,159753
09IStsImFySgyp0pIQdqAc,The Middle,Zedd,The Middle,2018,84,pop,dance pop,0.753,0.657,0.437,0.171,0,0.112,0.0449,107.01,-3.061,184732
1lGVyEkGHUz7Pg78QGaS4a,Wanted,NOTD,Wanted,2019,70,pop,dance pop,0.693,0.674,0.378,0.185,0,0.0639,0.0723,95.972,-4.449,160998
6ksMjdec8b6C45TUawkAdu,Crash Into Me,Steve Aoki,Crash Into Me,2019,37,pop,dance pop,0.672,0.815,0.341,0.00246,0,0.577,0.0981,115.033,-6.476,226093
1vsQb8n0icvMsFnL9663LM,Need Your Love (with Noah Kahan),Gryffin,Gravity,2019,70,pop,dance pop,0.581,0.76,0.523,0.16,0,0.183,0.0406,104.099,-3.962,205787
6pooRNiLyYpxZeIA5kJ5EX,Good Things Fall Apart (with Jon Bellion),ILLENIUM,Good Things Fall Apart (with Jon Bellion),2019,74,pop,dance pop,0.643,0.594,0.442,0.0128,0,0.118,0.0318,144.033,-5.453,216668
5WHTFyqSii0lmT9R21abT8,Don't Call Me Up,Mabel,Ivy To Roses (Mixtape),2019,85,pop,dance pop,0.674,0.881,0.234,0.296,3.01e-6,0.0793,0.147,98.994,-2.853,178480
1pBO9JDqh1y3TbCKEO1OvG,Nostalgic,A R I Z O N A,Nostalgic,2019,36,pop,dance pop,0.691,0.538,0.329,0.246,0.163,0.178,0.103,99.972,-9.952,182668
1LjxmkW3xRQP2HzswhYyyc,Let It Be Me,Steve Aoki,Let It Be Me,2019,52,pop,dance pop,0.661,0.758,0.387,0.0797,0,0.106,0.0864,114.098,-5.299,224061
7FCZhkhzEUVNUAlGauNKIe,Lovers + Strangers,Starley,Lovers + Strangers,2019,58,pop,dance pop,0.653,0.69,0.652,0.109,0,0.136,0.0756,110.214,-5.003,178501
2JoIjuzRplpYGvvLpSW2on,Sad Song (feat. TINI),Alesso,Sad Song (feat. TINI),2019,72,pop,dance pop,0.734,0.693,0.55,0.0878,0,0.341,0.0361,110.021,-6.474,154024
4PUWpNtDejQwwa80LjvxXl,Sleepless Nights,ayokay,In the Shape of a Dream,2018,64,pop,dance pop,0.663,0.696,0.449,0.0563,6.25e-6,0.226,0.0349,139.98,-5.994,197880
1nufXiTCTTAeJfO9hLHvO8,Save Me Tonight,ARTY,Save Me Tonight,2019,63,pop,dance pop,0.55,0.899,0.408,0.0113,9.65e-5,0.137,0.0458,125.85,-3.284,170079
1NDxZ7cFAo481dtYWdrUnR,Pretty Girl - Cheat Codes X CADE Remix,Maggie Lindemann,Pretty Girl (Cheat Codes X CADE Remix),2017,77,pop,dance pop,0.703,0.868,0.733,0.15,0.132,0.104,0.0291,121.03,-4.661,193613
1ahVFh0ViDZr8LvkEVlq3B,No Sleep (feat. Bonn),Martin Garrix,No Sleep (feat. Bonn),2019,76,pop,dance pop,0.44,0.635,0.327,0.129,0,0.121,0.0326,128.133,-6.385,207095
0Ev562zA4pmUsBqjxsxxdx,Feel Good (feat. Daya),Gryffin,Feel Good (feat. Daya),2017,74,pop,dance pop,0.625,0.707,0.479,0.22,0,0.213,0.0337,138.064,-4.761,248156
5l8AUgBTWuOECwVgYtaUyE,Endless Summer,Cashae,Endless Summer,2019,56,pop,dance pop,0.625,0.719,0.326,0.048,0,0.0668,0.0612,101.091,-5.541,202072
35MKhw2YBKApmD7fAnPERC,Faith (with Dolly Parton) [feat. Mr. Probz],Galantis,Faith (with Dolly Parton) [feat. Mr. Probz],2019,77,pop,dance pop,0.547,0.795,0.723,0.145,0,0.11,0.0489,118.118,-3.721,186805
3Kuu5vASpXK8oRsxOvau6P,Think About You,Kygo,Think About You,2019,71,pop,dance pop,0.673,0.596,0.19,0.166,0,0.11,0.0354,123.969,-7.891,208567
7KW3XQV5Or5CF57MYVj5h4,Party For One,Carly Rae Jepsen,Dedicated,2019,64,pop,dance pop,0.699,0.633,0.458,0.0453,0,0.101,0.0362,123.449,-6.547,184533
3M9Apu4OZfylLTFKvgEtKa,Ritual,Tiësto,Ritual,2019,82,pop,dance pop,0.647,0.726,0.767,0.157,0,0.0844,0.0552,114.996,-4.389,198996
5N4erncE7kuUccm7zEmwzk,Electricity (with Dua Lipa),Silk City,Electricity (with Dua Lipa),2018,81,pop,dance pop,0.588,0.67,0.505,0.0104,3.33e-6,0.338,0.0473,118.159,-6.439,238173
6QcrReLyoun4xrPVsZ5OJE,Lie,Shallou,Lie,2018,41,pop,dance pop,0.655,0.427,0.224,0.295,0.00108,0.0788,0.0799,107.992,-11.684,215446
1kQhi22kyluRCnIPAXtxEZ,I Found You (with Calvin Harris),benny blanco,FRIENDS KEEP SECRETS,2018,62,pop,dance pop,0.79,0.865,0.362,0.0264,0.0892,0.24,0.0438,122.99,-4.159,189165
