student_id,year,sleep_hours,sleep_group,study_hours,caffeine_cups,gpa
72,Sophomore,6.7322480996307785,Medium (6-7),15,1,3.23
73,Senior,5.633439252117015,Short (<6),10,2,2.79
74,Sophomore,7.738662421076494,Long (7+),10,0,3.25
75,Sophomore,6.588843150157893,Medium (6-7),19,1,3.26
76,Senior,5.870428290448746,Short (<6),24,3,2.81
77,Senior,5.912143285298298,Short (<6),11,0,3.04
78,Junior,7.419817732065197,Long (7+),12,0,3.49
79,Freshman,7.135217553621961,Long (7+),16,2,3.23
80,Senior,6.78276494961763,Medium (6-7),20,3,3.87
81,Sophomore,7.593963872438598,Long (7+),3,3,3.32
82,Freshman,7.467692109738167,Long (7+),14,1,3.4
83,Freshman,7.4956855719002755,Long (7+),16,2,3.32
84,Freshman,5.515342346114372,Short (<6),10,3,3.05
85,Freshman,8.84967259330041,Long (7+),13,2,4
86,Senior,6.117633477441545,Medium (6-7),11,2,3.32
87,Sophomore,5.206126866097616,Short (<6),3,3,2.56
88,Sophomore,6.1517078144021,Medium (6-7),10,3,2.8
89,Senior,6.072139685193404,Medium (6-7),16,3,2.95
90,Junior,8.303720496848017,Long (7+),16,0,3.11
91,Junior,7.054924666580584,Long (7+),11,3,3.46
92,Senior,7.054709256093958,Long (7+),15,1,3.12
93,Sophomore,6.452176401297331,Medium (6-7),17,3,3.12
94,Junior,6.736582661837906,Medium (6-7),16,2,3.12
95,Junior,7.662140907692286,Long (7+),12,1,2.91
96,Freshman,4.5,Short (<6),20,5,2.64
97,Sophomore,5.67416378399554,Short (<6),15,0,2.78
98,Freshman,7.44243314700857,Long (7+),2,1,2.83
99,Sophomore,5.325122060799168,Short (<6),17,3,2.86
100,Sophomore,7.040929187492217,Long (7+),15,1,3.22
101,Junior,6.329794951305906,Medium (6-7),9,5,2.96
102,Sophomore,8.065226821661986,Long (7+),3,1,3.05
103,Sophomore,5.706178519072852,Short (<6),10,3,2.14
104,Junior,8.853628055924798,Long (7+),13,0,3.64
105,Freshman,5.310756538671173,Short (<6),2,3,2.82
106,Sophomore,8.906821015240213,Long (7+),12,1,3.08
107,Sophomore,6.1395108825144025,Medium (6-7),24,1,2.79
108,Freshman,6.799190653282053,Medium (6-7),10,4,3.06
109,Junior,6.7244716957939374,Medium (6-7),13,4,3.17
110,Junior,8.603063944966495,Long (7+),9,2,3.52
111,Junior,6.643062844292947,Medium (6-7),13,1,2.93
112,Freshman,6.915826787032084,Medium (6-7),18,2,3.32
113,Sophomore,8.126262698491601,Long (7+),18,2,3.42
114,Junior,7.069554523903957,Long (7+),14,4,3.41
115,Junior,7.15538216430856,Long (7+),14,2,3.15
116,Freshman,6.349327790655601,Medium (6-7),9,1,3.35
117,Senior,6.746337871233837,Medium (6-7),21,1,3.54
118,Freshman,6.204261134043631,Medium (6-7),14,1,3.55
119,Freshman,7.528121088357319,Long (7+),13,1,3.72
120,Sophomore,7.772902948460395,Long (7+),2,2,2.89
121,Senior,6.670600303264069,Medium (6-7),18,3,2.75
122,Freshman,4.8190720314308075,Short (<6),13,1,2.8
123,Junior,6.051307066788255,Medium (6-7),15,2,2.8
124,Freshman,5.479192115327747,Short (<6),17,1,2.51
125,Sophomore,6.830613267655066,Medium (6-7),4,3,3.16
126,Senior,7.433914851132475,Long (7+),13,2,2.82
127,Sophomore,7.118714688316327,Long (7+),23,2,3.59
128,Freshman,7.006752049552024,Long (7+),8,4,3.09
129,Freshman,8.07252160056964,Long (7+),14,1,3.29
130,Freshman,5.647796552020333,Short (<6),10,3,3.16
131,Sophomore,6.471316147236938,Medium (6-7),12,2,3.18
132,Senior,6.736027544419022,Medium (6-7),25,2,3.18
133,Junior,5.573245409194305,Short (<6),20,0,2.98
134,Sophomore,6.0990646770551225,Medium (6-7),11,0,3.49
135,Senior,6.740115393425835,Medium (6-7),15,3,3.37
136,Senior,7.576449585542265,Long (7+),10,2,3.49
137,Sophomore,6.102324030278125,Medium (6-7),15,1,2.92
138,Senior,5.951665472426575,Short (<6),9,4,3.04
139,Freshman,7.381027754161478,Long (7+),25,3,3.1
140,Junior,6.489376068548411,Medium (6-7),17,3,3.3
141,Freshman,5.647959989619672,Short (<6),13,3,3.18
142,Freshman,5.427054574450262,Short (<6),11,1,2.94
143,Sophomore,7.602796548261032,Long (7+),8,2,3.8
144,Senior,6.024798382005827,Medium (6-7),11,2,3.09
145,Sophomore,5.884535557062363,Short (<6),6,0,2.64
146,Senior,7.265234127317501,Long (7+),13,2,3.65
147,Junior,6.650849589176303,Medium (6-7),7,3,2.71
148,Freshman,6.649041999562808,Medium (6-7),20,2,2.75
149,Senior,6.756730123386324,Medium (6-7),16,1,3.32
150,Freshman,6.447794091906334,Medium (6-7),10,2,3.26
151,Sophomore,6.696364425142595,Medium (6-7),9,1,2.23
152,Freshman,6.592662294318223,Medium (6-7),24,1,2.83
153,Sophomore,5.665796098323676,Short (<6),16,1,2.01
154,Junior,6.099039120023565,Medium (6-7),16,0,2.98
155,Freshman,6.039889045598405,Medium (6-7),12,1,3.16
156,Sophomore,5.3068695120799845,Short (<6),18,1,2.54
157,Junior,6.772625780099771,Medium (6-7),16,1,3.09
158,Senior,7.1891173046379935,Long (7+),14,2,3.23
159,Junior,6.882600624746313,Medium (6-7),16,1,2.91
160,Senior,5.994481414074145,Short (<6),13,1,3.2
161,Freshman,6.4918379880849875,Medium (6-7),25,4,3.29
162,Junior,7.994353101590977,Long (7+),12,3,3.77
163,Sophomore,5.899140885583285,Short (<6),9,3,2.87
164,Freshman,5.6419293567238356,Short (<6),14,1,3.07
165,Sophomore,6.257047594155162,Medium (6-7),9,3,2.89
166,Freshman,7.193891349943433,Long (7+),7,3,3.13
167,Senior,7.476145177570692,Long (7+),16,0,3.92
168,Sophomore,7.11999113100603,Long (7+),15,1,3.12
169,Sophomore,7.373442454230107,Long (7+),11,2,3.27
170,Junior,4.5,Short (<6),22,3,2.64
171,Sophomore,6.765062539955646,Medium (6-7),13,4,2.66
172,Junior,6.238635167333068,Medium (6-7),14,1,3.38
173,Junior,7.410907322479629,Long (7+),19,1,3
174,Sophomore,4.5,Short (<6),21,3,2.96
175,Senior,6.794652194950075,Medium (6-7),6,0,3.28
176,Sophomore,7.356796626136355,Long (7+),25,2,4
177,Senior,4.5,Short (<6),8,1,3.37
178,Junior,7.816600282213055,Long (7+),8,0,3.37
179,Junior,7.667230295627903,Long (7+),14,3,3.68
180,Freshman,8.196819418913007,Long (7+),21,0,4
181,Freshman,5.8371077582390685,Short (<6),9,3,2.99
182,Sophomore,7.417910241816743,Long (7+),16,1,3.44
183,Sophomore,9.435255562385775,Long (7+),9,3,3.79
184,Sophomore,5.957034454966152,Short (<6),20,0,3.57
185,Junior,8.217046519716167,Long (7+),13,2,3.08
186,Junior,7.404269256226702,Long (7+),11,4,3.75
187,Freshman,6.624326619220878,Medium (6-7),4,0,2.57
188,Junior,8.781237274074712,Long (7+),20,3,3.65
189,Freshman,7.210431761218283,Long (7+),12,2,2.9
190,Freshman,5.777660944723579,Short (<6),16,3,3.3
191,Senior,6.63268531612773,Medium (6-7),17,2,3.35
192,Freshman,4.534305012965568,Short (<6),13,4,2.59
193,Sophomore,9.5,Long (7+),13,1,3.57
194,Sophomore,7.0784431101802605,Long (7+),18,2,3.33
195,Junior,8.518958689171336,Long (7+),7,4,3.12
196,Senior,7.366213670599696,Long (7+),12,3,2.88
197,Junior,6.198677989622538,Medium (6-7),18,2,3.11
198,Junior,5.59628373325079,Short (<6),17,2,3.25
199,Freshman,6.966165770436831,Medium (6-7),17,0,3.3
200,Sophomore,8.297998064684732,Long (7+),20,2,4
